amostra,catalogo,item,lote,produto,quantidade,ampla_concorrencia,valor_unitario
Não,Não,1,,Armário de escritório,20,Não,"R$ 1.684,00"
Não,Não,12,,Cadeira Caixa Alta Giratória,15,Não,"R$ 483,73"
Não,Não,13,,Cadeira Fixa s/ braços,750,Sim,"R$ 194,21"
Não,Não,14,,Cadeira Fixa s/ braços,250,Não,"R$ 194,21"
Não,Não,15,,Cadeira fixa empilhável,200,Não,"R$ 194,66"
Não,Não,17,,Cadeira Giratória diretor c/ braços,225,Sim,"R$ 763,63"
Não,Não,18,,Cadeira Giratória diretor c/ braços,75,Não,"R$ 763,63"
Não,Não,23,,Conjunto Aluno - CJA 06,375,Sim,"R$ 524,35"
Não,Não,24,,Conjunto Aluno - CJA 06,125,Não,"R$ 524,35"
Não,Não,27,,Gaveteiro c/ rodízios,20,Não,"R$ 980,98"
Não,Não,30,,Longarina estofada - 03 lugares,225,Sim,"R$ 930,90"
Não,Não,31,,Longarina estofada - 03 lugares,75,Não,"R$ 930,90"
Não,Não,32,,Mesa MDP,30,Não,"R$ 661,45"
Não,Não,33,,Mesa reta,80,Não,"R$ 621,83"
Não,Não,34,,Mesa reta,80,Não,"R$ 672,46"
Não,Não,36,,Mesa - reunião,10,Não,"R$ 2.619,70"
Não,Não,37,,Mesa redonda - reunião,40,Não,"R$ 901,51"
Não,Não,38,,Mesa semi oval - reunião,10,Não,"R$ 1.592,43"
