document_id,filename_pdf,pdf_sha256,num_pages,orgao_codigo,orgao_nome,processo,pregão,conlicitacao,etapa,oc_bb_uasg,uf,quadrante,data_publicacao,data_hora_disputa,data_solicitacao,data_agendamento,responsavel,realizado_analise,amostra,catalogo,valor_teto,ticket_medio,meses_garantia,lote,item,nome_real,quantidade,valor_unitario,ampla_concorrencia,produto_cadastrado,garantia,amostra_item,catalogo_item,normas_tecnicas,pagina,fonte,evidencia,match_score,hint_produto
edital 6,edital 6.pdf,a4e39596802bcda737a14d93aff50b8dd399b2a963cf673445293192e500d3d5,161,,,,,,,,,,,,,,,,,,,,,,1.7.4,"será também aplicado ao licitante que atue em substituição a outra pessoa, física ou jurídica",,,,,,,,,4,pdf_text,"TEXTO p.4 | trecho=""1.8. O impedimento de que trata o item 1.7.4 será também aplicado ao licitante que atue em substituição a outra pessoa, física ou jurídica,""",0,
edital 6,edital 6.pdf,a4e39596802bcda737a14d93aff50b8dd399b2a963cf673445293192e500d3d5,161,,,,,,,,,,,,,,,,,,,,,,1.7.8,se a terceiro que auxilie a condução da contratação na qualidade de integrante de,,,,,,,,,5,pdf_text,"TEXTO p.5 | trecho=""1.13. A vedação de que trata o item 1.7.8 estende-se a terceiro que auxilie a condução da contratação na qualidade de integrante de""",0,
edital 6,edital 6.pdf,a4e39596802bcda737a14d93aff50b8dd399b2a963cf673445293192e500d3d5,161,,,,,,,,,,,,,,,,,,,,,,2.11,NÃO possuirá caráter sigiloso para os demais fornecedores e,,,,,,,,,6,pdf_text,"TEXTO p.6 | trecho=""2.11. Desde que disponibilizada a funcionalidade no sistema, o licitante poderá parametrizar o seu valor final mínimo ou o seu percentual""",0,
edital 6,edital 6.pdf,a4e39596802bcda737a14d93aff50b8dd399b2a963cf673445293192e500d3d5,161,,,,,,,,,,,,,,,,,,,,,,5.9.1,"Em caso de fabricação própria a planilha deve constar o valor de aquisição da matéria prima principal do produto, bem i",6,,,,,,,,11,pdf_tabela,"TABELA p.11 | trecho=""5.9.1 Em caso de fabricação própria a planilha deve constar o valor de aquisição da matéria prima principal do produto, bem informação quanto""",0,
edital 6,edital 6.pdf,a4e39596802bcda737a14d93aff50b8dd399b2a963cf673445293192e500d3d5,161,,,,,,,,,,,,,,,,,,,,,,5.8,"lucro. Em caso que seja fabricação própria, a empresa deverá comprovar através de planilha detalhada o custo com a",,,,,,,,,11,pdf_text,"TEXTO p.11 | trecho=""5.8. No caso Aquisição de bens e serviços em geral, é indício de inexequibilidade das propostas valores inferiores a 20% (vinte por cento)""",0,
edital 6,edital 6.pdf,a4e39596802bcda737a14d93aff50b8dd399b2a963cf673445293192e500d3d5,161,,,,,,,,,,,,,,,,,,,,,,19,IV do termo de referência,,,,,,,,,13,pdf_text,"TEXTO p.13 | trecho=""requisito do item 19, IV do termo de referência.""",0,
edital 6,edital 6.pdf,a4e39596802bcda737a14d93aff50b8dd399b2a963cf673445293192e500d3d5,161,,,,,,,,,,,,,,,,,,,,,,7.1,deverão ser enviados quando convocados no prazo de até duas horas,,,,,,,,,13,pdf_text,"TEXTO p.13 | trecho=""6.7.1. Anão observância do disposto no item anterior poderá ensejar desclassificação no momento da habilitação.""",0,
edital 6,edital 6.pdf,a4e39596802bcda737a14d93aff50b8dd399b2a963cf673445293192e500d3d5,161,,,,,,,,,,,,,,,,,,,,,,8.1.3,caracterizará o descumprimento total da obrigação assumida e o,,,,,,,,,16,pdf_text,"TEXTO p.16 | trecho=""infrações dispostas nos itens 8.1.4, 8.1.5, 8.1.6, 8.1.7 e 8.1.8, bem como pelas infrações administrativas previstas nos itens 8.1.1, 8.1.2 e 8.1.3""",0,
edital 6,edital 6.pdf,a4e39596802bcda737a14d93aff50b8dd399b2a963cf673445293192e500d3d5,161,,,,,,,,,,,,,,,,,,,,,,12.1,"O prazo de vigência da ata de registro de preços será de 1 (um) ano e poderá ser prorrogado, por igual período, desde",1,,,,,,,,17,pdf_tabela,"TABELA p.17 | trecho=""12.1 O prazo de vigência da ata de registro de preços será de 1 (um) ano e poderá ser prorrogado, por igual período, desde que comprovado o""",0,
edital 6,edital 6.pdf,a4e39596802bcda737a14d93aff50b8dd399b2a963cf673445293192e500d3d5,161,,,,,,,,,,,,,,,,,,,,,,12.3,Será permitido o registro de fornecedor reserva desde que aceite cotar o objeto em preço igual ao do licitante,4,,,,,,,,17,pdf_tabela,"TABELA p.17 | trecho=""12.3 Será permitido o registro de fornecedor reserva desde que aceite cotar o objeto em preço igual ao do licitante vencedor, assegurada a""",0,
edital 6,edital 6.pdf,a4e39596802bcda737a14d93aff50b8dd399b2a963cf673445293192e500d3d5,161,,,,,,,,,,,,,,,,,,,,,,12.6,"Na hipótese de o preço registrado tornar -se superior ao preço praticado no mercado, por motivo superveniente, o órgão",23,,,,,,,,18,pdf_tabela,"TABELA p.18 | trecho=""12.6 Na hipótese de o preço registrado tornar-se superior ao preço praticado no mercado, por motivo superveniente, o órgão ou a entidade""",0,
